,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000010292.11,6061,4195,2659,10510,5001,4497,2876,3145,3951
ENSG00000010295.18,3197,977,1525,2903,717,2449,2915,1690,2099
ENSG00000010310.7,15,663,63,22,38,97,47,39,217
ENSG00000010318.18,677,736,484,1204,524,893,440,483,795
ENSG00000010319.5,17,33,6,73,41,40,9,17,36
ENSG00000010322.14,9220,5180,4664,11505,8819,12885,7773,5368,5477
ENSG00000010327.9,38725,198,5236,17327,48224,49710,40575,231,2835
ENSG00000010361.12,734,361,385,637,511,580,483,640,509
ENSG00000010379.14,7,4,7,2,13,14,9,6,1
ENSG00000010404.16,4751,4863,4305,4595,4227,1306,5608,3740,6900
ENSG00000010438.15,5,11,4,6,5,3,6,9,4
ENSG00000010539.10,302,711,172,558,290,237,388,191,248
ENSG00000010610.8,4160,601,3965,983,361,559,13897,643,2385
ENSG00000010626.13,421,378,300,453,93,313,370,432,409
ENSG00000010671.14,5020,2279,3551,6771,3346,2884,4801,3354,5691
ENSG00000010704.17,31,23,75,15,90,15,82,15,37
ENSG00000010803.15,1976,4870,1894,3282,2373,3047,1176,3412,4192
ENSG00000010810.16,2167,3211,2585,1784,1634,270,3902,1751,2252
ENSG00000010818.7,495,8529,1493,151,2477,2779,858,1257,1938
ENSG00000010932.14,7,13,5,3,1,1,2,3,8
ENSG00000011007.11,1488,1596,1096,1990,1707,1109,1646,1446,1701
ENSG00000011009.9,2065,394,760,1483,1194,814,1451,899,1202
ENSG00000011021.20,1374,1526,1624,2462,1698,1826,2218,1770,2030
ENSG00000011028.12,194,4327,526,1505,579,5860,1238,419,3044
ENSG00000011052.20,30,2,4,23,16,6,10,16,53
ENSG00000011083.7,2,3,2,0,0,0,0,0,1
ENSG00000011105.10,36,259,6,4,9,29,25,8,89
ENSG00000011114.13,1516,3958,2395,3459,2310,2421,2128,2113,2268
ENSG00000011132.10,760,425,392,867,467,396,739,589,548
ENSG00000011143.15,661,758,396,1029,474,570,369,385,669
ENSG00000011198.6,391,759,790,403,641,498,638,245,490
ENSG00000011201.9,1,8,5,1,0,1,1,2,0
ENSG00000011243.16,2741,2174,1964,3030,1759,2408,2292,1940,2956
ENSG00000011258.14,1489,8044,2708,4457,2271,3409,1939,2836,5302
ENSG00000011260.12,1402,2399,920,1612,1117,1140,1133,1134,1656
ENSG00000011275.17,2923,3702,2877,3497,2099,3425,3067,3192,3235
ENSG00000011295.14,3071,2126,2666,3411,2552,3480,2168,2785,3128
ENSG00000011304.15,14264,5803,8532,14659,11101,6674,10924,9840,9408
ENSG00000011332.18,117,300,147,50,64,242,81,220,80
ENSG00000011347.8,1,151,0,3,1,2,4,0,4
ENSG00000011376.8,1034,959,647,1728,1135,925,770,894,957
ENSG00000011405.12,1049,5403,2544,2853,1964,2194,2364,2702,3045
ENSG00000011422.10,1876,532,2240,1362,1488,5223,3333,724,1649
ENSG00000011426.9,724,1476,842,2353,1522,2406,348,1260,784
ENSG00000011451.16,2748,1540,1350,3389,2542,1556,2370,2405,2225
ENSG00000011454.15,1419,2112,1809,3567,1870,1151,1878,2782,3128
ENSG00000011465.15,46,160,20,2,15,226,2,69,101
ENSG00000011478.10,740,193,332,715,608,540,489,471,429
ENSG00000011485.13,2225,1273,1225,2306,1932,1572,1189,1537,2102
